0:0:0:0:0:0:0:1 - - [24/Dec/2016:14:09:34 +0100] "GET /CoreShirt/Immagini/Magliette/Maglietta(20).jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Dec/2016:14:09:34 +0100] "GET /CoreShirt/Immagini/Magliette/Maglietta(21).jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Dec/2016:14:09:35 +0100] "GET /CoreShirt/Immagini/Magliette/Maglietta(22).jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Dec/2016:14:09:35 +0100] "GET /CoreShirt/Immagini/Magliette/Maglietta(23).jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Dec/2016:14:09:35 +0100] "GET /CoreShirt/Immagini/Magliette/Maglietta(24).jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Dec/2016:14:09:35 +0100] "GET /CoreShirt/Immagini/Magliette/Maglietta(25).jpg HTTP/1.1" 404 1078
0:0:0:0:0:0:0:1 - - [24/Dec/2016:14:09:41 +0100] "GET /CoreShirt/Control?action=dettagli&id=4&sesso=M HTTP/1.1" 200 12665
0:0:0:0:0:0:0:1 - - [24/Dec/2016:14:09:41 +0100] "GET /CoreShirt/Immagini/Magliette/4.png HTTP/1.1" 200 404053
0:0:0:0:0:0:0:1 - - [24/Dec/2016:14:10:18 +0100] "GET /CoreShirt/About HTTP/1.1" 200 4915
0:0:0:0:0:0:0:1 - - [24/Dec/2016:14:10:18 +0100] "GET /CoreShirt/CSS/About.css HTTP/1.1" 200 2312
0:0:0:0:0:0:0:1 - - [24/Dec/2016:14:10:35 +0100] "GET /CoreShirt/Help HTTP/1.1" 200 18244
0:0:0:0:0:0:0:1 - - [24/Dec/2016:14:10:35 +0100] "GET /CoreShirt/CSS/Help.css HTTP/1.1" 200 2275
0:0:0:0:0:0:0:1 - - [24/Dec/2016:14:10:36 +0100] "GET /CoreShirt/Checkout HTTP/1.1" 200 4757
0:0:0:0:0:0:0:1 - - [24/Dec/2016:14:10:37 +0100] "GET /CoreShirt/CSS/Cart.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Dec/2016:14:10:37 +0100] "GET /CoreShirt/CSS/Checkout.css HTTP/1.1" 200 1019
0:0:0:0:0:0:0:1 - - [24/Dec/2016:14:10:41 +0100] "GET /CoreShirt/ HTTP/1.1" 200 28552
0:0:0:0:0:0:0:1 - - [24/Dec/2016:14:10:41 +0100] "GET /CoreShirt/Immagini/Magliette/Maglietta(25)F.jpg HTTP/1.1" 404 1080
0:0:0:0:0:0:0:1 - - [24/Dec/2016:14:10:41 +0100] "GET /CoreShirt/Immagini/Magliette/Maglietta(25).jpg HTTP/1.1" 404 1078
